Word,Zipf-value,,
accosting,1.99080414648048,,
accosts,1.59286413780844,,
account,4.64995942742111,,
accountability,2.6897741508165,,
accountable,3.15515700226492,,
accountancy,1.89389413347242,,
accountant,3.79152122476286,,
accountants,3.04002216915066,,
accounted,3.48216584031475,,
accounting,3.6554461220366,,
accounts,4.02018792416569,,
accoutered,1.59286413780844,,
accoutre,1.59286413780844,,
accoutred,1.76895539686412,,
accoutrement,2.13693218215872,,
accoutrements,2.13693218215872,,
accreditation,2.29183414214446,,
accredited,2.52228306352273,,
accrediting,1.59286413780844,,
accrete,1.59286413780844,,
accrual,1.76895539686412,,
accrue,1.99080414648048,,
accrued,2.4379621778227,,
accrues,1.59286413780844,,
accruing,1.76895539686412,,
accumulate,2.76895539686412,,
accumulated,2.89389413347242,,
accumulates,2.37101538819208,,
accumulating,2.57058774309729,,
accumulation,2.4379621778227,,
accumulations,1.59286413780844,,
accumulative,1.89389413347242,,
accumulator,1.59286413780844,,
accuracy,3.17832486731694,,
accurate,3.89497851476464,,
accurately,3.0626861537866,,
accursed,2.82331305918672,,
accusation,3.45019663423971,,
accusations,3.47935486298092,,
accusatory,1.89389413347242,,
accuse,3.75572713113037,,
accused,4.11595997606101,,
accuser,2.49595412480038,,
accusers,2.24607665158378,,
accuses,2.79698412046437,,
accusing,3.69495466332028,,
accustom,2.13693218215872,,
accustomed,3.46792540120014,,
ace,4.1680519827361,,
aced,2.89389413347242,,
acentric,1.59286413780844,,
acerbic,1.99080414648048,,
aces,3.59933018005767,,
acetabulum,1.76895539686412,,
acetaminophen,2.0699853925281,,
acetate,2.13693218215872,,
acetates,1.59286413780844,,
acetic,1.59286413780844,,
acetone,2.24607665158378,,
acetyl,1.76895539686412,,
acetylcholine,2.1949241291364,,
acetylene,2.67204538385607,,
acetylsalicylic,1.99080414648048,,
achar,1.59286413780844,,
ache,3.39904411179233,,
ached,2.52228306352273,,
acher,1.76895539686412,,
aches,3.18392874483494,,
achievable,1.76895539686412,,
achieve,3.86586540987218,,
achieved,3.63425682296667,,
achievement,3.54468717312435,,
achievements,3.04002216915066,,
achiever,2.4057774944513,,
achievers,2.29183414214446,,
achieves,2.52228306352273,,
achieving,2.87161773876127,,
achiness,1.59286413780844,,
aching,3.31714000740923,,
achingly,1.76895539686412,,
achondroplasia,1.76895539686412,,
achoo,2.0699853925281,,
achy,2.67204538385607,,
acid,3.99855192448122,,
acidemia,1.76895539686412,,
acidic,2.37101538819208,,
acidity,2.33322682730268,,
acidizing,1.59286413780844,,
acidophilus,1.89389413347242,,
acidosis,2.24607665158378,,
acidotic,1.99080414648048,,
acids,2.92530259772405,,
acing,1.99080414648048,,
ackee,1.59286413780844,,
acknowledge,3.78876379021767,,
acknowledged,3.2961555159271,,
acknowledgement,2.63425682296667,,
acknowledgements,1.99080414648048,,
acknowledges,2.4379621778227,,
acknowledging,2.86003586621145,,
acknowledgment,2.72319790630345,,
acknowledgments,1.59286413780844,,
aclu,2.63425682296667,,
acme,3.10474749878732,,
acne,2.96393200008018,,
